NAT_MARK,SCH_NM,PROV_NM,SUBM,Teacher_Gender,ACHIEVEMENTS1,MIDTERM1,FINAL1
53.7,0,0,0,1,28.0,17.0,45.0
49.7,0,0,0,1,27.0,14.0,41.5
52.1,0,0,0,1,27.0,13.0,27.5
52.9,0,0,0,1,26.0,15.0,44.0
52.1,0,0,0,1,25.0,14.0,31.5
80.60000000000002,0,0,0,1,30.0,20.0,50.0
79.8,0,0,0,1,30.0,20.0,48.5
67.0,0,0,0,1,28.0,16.0,44.0
64.8,0,0,0,1,30.0,19.0,45.0
52.1,0,0,0,1,26.0,14.0,35.0
47.9,0,0,0,1,28.0,12.0,40.0
33.8,0,0,0,1,26.0,14.0,37.5
55.3,0,0,0,1,30.0,19.0,45.5
55.3,0,0,0,1,28.0,17.0,45.0
59.8,0,0,0,1,27.0,16.0,42.5
59.8,0,0,0,1,27.0,18.0,36.0
50.5,0,0,0,1,28.0,20.0,45.0
75.10000000000002,0,0,0,1,30.0,19.0,48.0
45.2,0,0,0,1,25.0,15.0,44.5
57.6,0,0,0,1,27.0,16.0,38.0
51.3,0,0,0,1,26.0,15.0,32.5
56.1,0,0,0,1,25.0,12.0,40.5
71.4,0,0,0,1,28.0,16.0,46.5
56.8,0,0,0,1,28.0,16.0,35.5
57.6,0,0,0,1,27.0,18.0,46.0
53.7,0,0,0,1,28.0,16.0,35.5
64.1,0,0,0,1,30.0,18.0,47.5
59.0,0,0,0,1,25.0,15.0,40.0
41.1,0,0,0,1,25.0,7.0,29.0
66.3,0,0,0,1,30.0,19.0,49.0
49.7,0,0,0,1,24.0,12.0,38.0
42.2,0,0,0,1,23.0,10.0,37.5
73.60000000000002,0,0,0,1,30.0,18.0,49.0
43.2,0,0,0,1,26.0,15.0,33.0
52.1,0,0,0,1,26.0,13.0,38.0
54.5,0,0,0,1,25.0,14.0,48.0
47.9,0,0,0,1,28.0,14.0,40.0
44.2,0,0,0,1,28.0,14.0,42.0
47.0,0,0,0,1,23.0,10.0,43.0
44.2,0,0,0,1,27.0,12.0,32.0
55.3,0,0,0,1,26.0,17.0,44.0
53.7,0,0,0,1,28.0,17.0,41.5
56.8,0,0,0,1,30.0,18.0,40.0
59.0,0,0,0,1,28.0,16.0,43.0
56.8,0,0,0,1,30.0,17.0,41.5
67.0,0,0,0,1,30.0,20.0,48.0
61.2,0,0,0,1,29.0,18.0,44.5
44.2,0,0,0,1,25.0,13.0,31.0
66.3,0,0,0,1,30.0,20.0,49.5
52.1,0,0,0,1,28.0,15.0,37.0
67.0,0,0,0,1,27.0,15.0,45.0
61.9,0,0,0,1,27.0,14.0,43.5
59.0,0,0,0,1,27.0,15.0,35.0
52.1,0,0,0,1,27.0,16.0,40.0
57.6,0,0,0,1,30.0,19.0,47.0
65.6,0,0,0,1,30.0,17.0,40.5
59.8,0,0,0,1,30.0,19.0,44.5
64.8,0,0,0,1,28.0,16.0,43.5
58.3,0,0,0,1,28.0,15.0,40.0
64.1,0,0,0,1,30.0,17.0,42.0
57.6,0,0,0,1,29.0,15.0,26.5
52.9,0,0,0,1,28.0,16.0,37.5
51.3,0,0,0,1,28.0,17.0,44.5
48.8,0,0,0,1,28.0,16.0,44.5
61.9,0,0,0,1,30.0,17.0,50.0
55.3,0,0,0,1,28.0,18.0,46.5
56.1,0,0,0,1,30.0,18.0,46.5
66.3,0,0,0,1,30.0,20.0,50.0
48.8,0,0,0,1,29.0,16.0,42.5
60.5,0,0,0,1,28.0,17.0,43.0
36.5,0,0,0,1,26.0,12.0,33.5
47.9,0,0,0,1,29.0,19.0,42.0
61.9,0,0,0,1,27.0,16.0,38.0
62.7,0,0,0,1,30.0,14.0,40.5
56.8,0,0,0,1,27.0,13.0,36.5
48.8,0,0,0,1,28.0,13.0,25.0
33.8,3,2,0,1,26.0,6.0,5.0
36.5,3,2,0,1,29.0,18.0,26.0
43.2,3,2,0,1,25.0,10.0,18.0
50.5,3,2,0,1,25.0,12.0,36.0
46.1,3,2,0,1,30.0,20.0,49.0
57.6,3,2,0,1,30.0,20.0,49.0
32.4,3,2,0,1,26.0,12.0,22.0
40.0,3,2,0,1,27.0,15.0,38.0
56.1,3,2,0,1,30.0,20.0,49.0
43.2,3,2,0,1,26.0,12.0,27.0
43.2,3,2,0,1,21.0,8.0,19.0
41.1,3,2,0,1,28.0,16.0,36.0
52.1,3,2,0,1,27.0,16.0,31.0
48.8,3,2,0,1,28.0,18.0,43.0
44.2,3,2,0,1,30.0,20.0,44.0
43.2,3,2,0,1,24.0,16.0,42.0
35.2,3,2,0,1,28.0,18.0,34.0
48.8,3,2,0,1,25.0,12.0,29.0
58.3,3,2,0,1,30.0,20.0,44.0
49.7,3,2,0,1,30.0,19.0,43.0
68.5,3,2,0,1,30.0,20.0,50.0
50.5,3,2,0,1,30.0,16.0,39.0
46.1,3,2,0,1,30.0,20.0,44.0
42.2,3,2,0,1,25.0,17.0,45.0
38.9,3,2,0,1,28.0,14.0,42.0
44.2,3,2,0,1,21.0,15.0,24.0
47.9,3,2,0,1,29.0,19.0,32.0
61.9,3,2,0,1,29.0,19.0,48.0
52.9,3,2,0,1,28.0,20.0,34.0
52.9,3,2,0,1,28.0,16.0,44.0
32.4,3,2,0,1,27.0,12.0,21.0
47.9,3,2,0,1,28.0,16.0,29.0
52.1,3,2,0,1,30.0,20.0,37.0
42.2,3,2,0,1,29.0,18.0,43.0
52.9,3,2,0,1,30.0,19.0,43.0
33.8,3,2,0,1,27.0,17.0,47.0
33.8,3,2,0,1,27.0,12.0,21.0
37.7,3,2,0,1,27.0,17.0,39.0
30.9,3,2,0,1,27.0,12.0,21.0
43.2,3,2,0,1,26.0,9.0,26.0
47.0,3,2,0,1,30.0,20.0,44.0
32.4,3,2,0,1,26.0,14.0,25.0
46.1,3,2,0,1,29.0,18.0,19.0
64.1,3,2,0,1,30.0,20.0,44.0
45.2,3,2,0,1,28.0,17.0,28.0
49.7,3,2,0,1,26.0,12.0,42.0
36.5,3,2,0,1,27.0,16.0,30.0
46.1,3,2,0,1,28.0,16.0,31.0
42.2,3,2,0,1,26.0,12.0,22.0
42.2,3,2,0,1,28.0,18.0,35.0
62.7,3,2,0,1,30.0,20.0,46.0
44.2,3,2,0,1,27.0,10.0,23.0
41.1,3,2,0,1,28.0,14.0,38.0
56.8,3,2,0,1,27.0,17.0,43.0
43.2,3,2,0,1,29.0,14.0,29.0
52.9,3,2,0,1,29.0,20.0,37.0
53.7,3,2,0,1,30.0,20.0,43.0
56.1,3,2,0,1,28.0,17.0,45.0
46.1,3,2,0,1,27.0,18.0,25.0
44.2,3,2,0,1,28.0,18.0,38.0
35.2,3,2,0,1,27.0,15.0,27.0
41.1,3,2,0,1,28.0,18.0,34.0
